id,date,pageNum
sn83025287,1883-05-25,7
sn83025287,1883-05-26,6
sn83025287,1883-05-27,7
sn83025287,1883-05-28,3
sn83025287,1883-05-29,3
sn83025287,1883-05-30,8
sn83025287,1883-06-01,7
sn83025287,1883-06-02,8
sn83025287,1883-06-03,7
sn83025287,1883-06-04,3
sn83025287,1883-06-05,3
sn83025287,1883-06-06,8
sn83025287,1883-06-07,8
sn83025287,1883-06-08,7
sn83025287,1883-06-09,10
sn83025287,1883-06-10,7
sn83025287,1883-06-11,7
sn83025287,1883-06-12,7
sn83025287,1883-06-13,7
sn83025287,1883-06-14,9
sn83025287,1883-06-15,3
sn83025287,1883-06-16,7
sn83025287,1883-06-17,12
sn83025287,1883-06-18,7
sn83025287,1883-06-19,7
sn83025287,1883-06-20,7
sn83025287,1883-06-21,8
sn83025287,1883-06-22,7
sn83025287,1883-06-23,8
sn83025287,1883-06-24,14
sn83025287,1883-06-25,3
sn83025287,1883-06-26,7
sn83025287,1883-06-27,3
sn83025287,1883-06-28,8
sn83025287,1883-06-29,8
sn83025287,1883-06-30,7
sn83025287,1883-07-01,3
sn83025287,1883-07-02,3
sn83025287,1883-07-03,3
sn83025287,1883-07-04,7
sn83025287,1883-07-07,3
sn83025287,1883-07-08,8
sn83025287,1883-07-11,11
sn83025287,1883-07-12,8
sn83025287,1883-07-13,9
sn83025287,1883-07-14,7
sn83025287,1883-07-15,7
sn83025287,1883-07-16,7
sn83025287,1883-07-17,7
sn83025287,1883-07-18,7
sn83025287,1883-07-19,7
sn83025287,1883-07-20,3
sn83025287,1883-07-21,7
sn83025287,1883-07-22,7
sn83025287,1883-07-23,7
sn83025287,1883-07-24,3
sn83025287,1883-07-25,7
sn83025287,1883-07-26,8
sn83025287,1883-07-27,9
sn83025287,1883-07-28,9
sn83025287,1883-07-29,9
sn83025287,1883-07-30,10
sn83025287,1883-07-31,8
sn83025287,1883-08-01,8
sn83025287,1883-08-02,9
sn83025287,1883-08-03,9
sn83025287,1883-08-04,10
sn83025287,1883-08-05,5
sn83025287,1883-08-06,4
sn83025287,1883-08-07,9
sn83025287,1883-08-08,11
sn83025287,1883-08-09,9
sn83025287,1883-08-10,9
sn83025287,1883-08-11,4
sn83025287,1883-08-12,10
sn83025287,1883-08-13,9
sn83025287,1883-08-14,8
sn83025287,1883-08-15,11
sn83025287,1883-08-16,9
sn83025287,1883-08-17,7
sn83025287,1883-08-18,7
sn83025287,1883-08-19,9
sn83025287,1883-08-21,9
sn83025287,1883-08-22,9
sn83025287,1883-08-23,4
sn83025287,1883-08-24,4
sn83025287,1883-08-25,11
sn83025287,1883-08-26,4
sn83025287,1883-08-28,9
sn83025287,1883-08-29,9
sn83025287,1883-08-30,10
sn83025287,1883-08-31,10
sn83025287,1883-09-01,7
sn83025287,1883-09-02,16
sn83025287,1883-09-03,12
sn83025287,1883-09-04,7
sn83025287,1883-09-05,7
sn83025287,1883-09-06,7
sn83025287,1883-09-07,7
sn83025287,1883-09-08,7
sn83025287,1883-09-09,9
sn83025287,1883-09-10,7
sn83025287,1883-09-11,7
sn83025287,1883-09-12,9
