"movieId","userId","rating","title","genres"
"31",1,2.5,"Dangerous Minds (1995)","Drama"
"1405",1,1,"Beavis and Butt-Head Do America (1996)","Adventure|Animation|Comedy|Crime"
"2150",1,3,"Gods Must Be Crazy, The (1980)","Adventure|Comedy"
"10",2,4,"GoldenEye (1995)","Action|Adventure|Thriller"
"17",2,5,"Sense and Sensibility (1995)","Drama|Romance"
"39",2,5,"Clueless (1995)","Comedy|Romance"
"47",2,4,"Seven (a.k.a. Se7en) (1995)","Mystery|Thriller"
"50",2,4,"Usual Suspects, The (1995)","Crime|Mystery|Thriller"
"52",2,3,"Mighty Aphrodite (1995)","Comedy|Drama|Romance"
"62",2,3,"Mr. Hollands Opus (1995),Drama
63,Dont Be a Menace to South Central While Drinking Your Juice in the Hood (1996)","Comedy|Crime"
"110",2,4,"Braveheart (1995)","Action|Drama|War"
"222",2,5,"Circle of Friends (1995)","Drama|Romance"
"223",2,1,"Clerks (1994)","Comedy"
"225",2,3,"Disclosure (1994)","Drama|Thriller"
"235",2,3,"Ed Wood (1994)","Comedy|Drama"
"248",2,3,"Houseguest (1994)","Comedy"
"253",2,4,"Interview with the Vampire: The Vampire Chronicles (1994)","Drama|Horror"
"261",2,4,"Little Women (1994)","Drama"
"265",2,5,"Like Water for Chocolate (Como agua para chocolate) (1992)","Drama|Fantasy|Romance"
"266",2,5,"Legends of the Fall (1994)","Drama|Romance|War|Western"
"272",2,3,"Madness of King George, The (1994)","Comedy|Drama"
"273",2,4,"Mary Shelleys Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
274,Man of the House (1995),Comedy
275,Mixed Nuts (1994),Comedy
276,Milk Money (1994),Comedy|Romance
277,Miracle on 34th Street (1994),Drama
278,Miami Rhapsody (1995),Comedy
279,My Family (1995),Drama
280,Murder in the First (1995),Drama|Thriller
281,Nobodys Fool (1994)","Comedy|Drama|Romance"
"292",2,3,"Outbreak (1995)","Action|Drama|Sci-Fi|Thriller"
"296",2,4,"Pulp Fiction (1994)","Comedy|Crime|Drama|Thriller"
"300",2,3,"Quiz Show (1994)","Drama"
"314",2,4,"Secret of Roan Inish, The (1994)","Children|Drama|Fantasy|Mystery"
"317",2,2,"Santa Clause, The (1994)","Comedy|Drama|Fantasy"
"319",2,1,"Shallow Grave (1994)","Comedy|Drama|Thriller"
"339",2,3,"While You Were Sleeping (1995)","Comedy|Romance"
"405",2,2,"Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)","Action|Fantasy"
"410",2,3,"Addams Family Values (1993)","Children|Comedy|Fantasy"
"474",2,2,"In the Line of Fire (1993)","Action|Thriller"
"537",2,4,"Sirens (1994)","Drama"
"539",2,3,"Sleepless in Seattle (1993)","Comedy|Drama|Romance"
"550",2,3,"Threesome (1994)","Comedy|Romance"
"551",2,5,"Nightmare Before Christmas, The (1993)","Animation|Children|Fantasy|Musical"
"552",2,3,"Three Musketeers, The (1993)","Action|Adventure|Comedy|Romance"
"585",2,5,"Brady Bunch Movie, The (1995)","Comedy"
"586",2,3,"Home Alone (1990)","Children|Comedy"
"587",2,3,"Ghost (1990)","Comedy|Drama|Fantasy|Romance|Thriller"
"588",2,3,"Aladdin (1992)","Adventure|Animation|Children|Comedy|Musical"
"589",2,5,"Terminator 2: Judgment Day (1991)","Action|Sci-Fi"
"590",2,5,"Dances with Wolves (1990)","Adventure|Drama|Western"
"592",2,5,"Batman (1989)","Action|Crime|Thriller"
"593",2,3,"Silence of the Lambs, The (1991)","Crime|Horror|Thriller"
"616",2,3,"Aristocats, The (1970)","Animation|Children"
"661",2,4,"James and the Giant Peach (1996)","Adventure|Animation|Children|Fantasy|Musical"
"60",3,3,"Indian in the Cupboard, The (1995)","Adventure|Children|Fantasy"
"110",3,4,"Braveheart (1995)","Action|Drama|War"
"247",3,3.5,"Heavenly Creatures (1994)","Crime|Drama"
"267",3,3,"Major Payne (1995)","Comedy"
"296",3,4.5,"Pulp Fiction (1994)","Comedy|Crime|Drama|Thriller"
"318",3,5,"Shawshank Redemption, The (1994)","Crime|Drama"
"588",3,3,"Aladdin (1992)","Adventure|Animation|Children|Comedy|Musical"
"592",3,3,"Batman (1989)","Action|Crime|Thriller"
"593",3,3,"Silence of the Lambs, The (1991)","Crime|Horror|Thriller"
"595",3,2,"Beauty and the Beast (1991)","Animation|Children|Fantasy|Musical|Romance|IMAX"
"736",3,3.5,"Twister (1996)","Action|Adventure|Romance|Thriller"
"778",3,4,"Trainspotting (1996)","Comedy|Crime|Drama"
"866",3,3,"Bound (1996)","Crime|Drama|Romance|Thriller"
"2318",3,4,"Happiness (1998)","Comedy|Drama"
"2694",3,3,"Big Daddy (1999)","Comedy"
"2702",3,3.5,"Summer of Sam (1999)","Drama"
"2716",3,3,"Ghostbusters (a.k.a. Ghost Busters) (1984)","Action|Comedy|Sci-Fi"
"3243",3,3,"Encino Man (1992)","Comedy"
"5349",3,3,"Spider-Man (2002)","Action|Adventure|Sci-Fi|Thriller"
