Days,City,State,Inches,Millimeters
164,Portland,Oregon,43.5,1104
125,Providence,Rhode Island,47.2,1198
100,Raleigh,North Carolina,46.0,1169
114,Richmond,Virginia,43.6,1107
30,Riverside,California,10.3,262
167,Rochester,New York,34.3,870
60,Sacramento,California,18.5,470
96,Salt Lake City,Utah,16.1,409
83,San Antonio,Texas,32.3,820
42,San Diego,California,10.3,263
68,San Francisco,California,20.7,525
62,San Jose,California,15.8,402
149,Seattle,Washington,37.7,958
113,St. Louis,Missouri,41.0,1040
105,Tampa,Florida,46.3,1176
117,Virginia Beach,Virginia,46.5,1182
114,Washington,DC,39.7,1009
114,Jacksonville,Florida,52.4,1331
91,Kansas City,Missouri,39.1,992
27,Las Vegas,Nevada,4.2,106
36,Los Angeles,California,12.8,326
123,Louisville,Kentucky,44.9,1141
108,Memphis,Tennessee,53.7,1363
135,Miami,Florida,61.9,1572
127,Milwaukee,Wisconsin,34.8,883
117,Minneapolis,Minnesota,30.6,777
119,Nashville,Tennessee,47.3,1200
115,New Orleans,Louisiana,62.7,1592
122,New York,New York,49.9,1268
84,Oklahoma City,Oklahoma,36.5,928
117,Orlando,Florida,50.7,1289
118,Philadelphia,Pennsylvania,41.5,1055
30,Phoenix,Arizona,8.2,208
151,Pittsburgh,Pennsylvania,38.2,970
114,Jacksonville,Florida,52.4,1331
91,Kansas City,Missouri,39.1,992
27,Las Vegas,Nevada,4.2,106
36,Los Angeles,California,12.8,326
123,Louisville,Kentucky,44.9,1141
108,Memphis,Tennessee,53.7,1363
135,Miami,Florida,61.9,1572
127,Milwaukee,Wisconsin,34.8,883
117,Minneapolis,Minnesota,30.6,777
119,Nashville,Tennessee,47.3,1200
115,New Orleans,Louisiana,62.7,1592
122,New York,New York,49.9,1268
84,Oklahoma City,Oklahoma,36.5,928
117,Orlando,Florida,50.7,1289
118,Philadelphia,Pennsylvania,41.5,1055
30,Phoenix,Arizona,8.2,208
151,Pittsburgh,Pennsylvania,38.2,970
113,Atlanta,Georgia,49.7,1263
88,Austin,Texas,34.2,870
116,Baltimore,Maryland,41.9,1064
117,Birmingham,Alabama,53.7,1364
126,Boston,Massachusetts,43.8,1112
167,Buffalo,New York,40.5,1028
110,Charlotte,North Carolina,41.6,1057
124,Chicago,Illinois,36.9,937
137,Cincinnati,Ohio,41.9,1065
155,Cleveland,Ohio,39.1,994
139,Columbus,Ohio,39.3,998
81,Dallas,Texas,37.6,954
87,Denver,Colorado,15.6,396
135,Detroit,Michigan,33.5,850
130,Hartford,Connecticut,45.9,1165
104,Houston,Texas,49.8,1264
129,Indianapolis,Indiana,42.4,1078
