"","token","n"
"1","in the",2219
"2","of the",2169
"3","machine learning",1767
"4","ability to",1365
"5","in a",1362
"6","to the",1279
"7","will be",1267
"8","you will",1150
"9","such as",1120
"10","experience in",1021
"11","and or",1001
"12","to work",938
"13","is a",935
"14","years of",917
"15","data science",885
"16","with the",851
"17","experience with",848
"18","of data",841
"19","as a",778
"20","data scientist",768
"21","computer science",713
"22","with a",675
"23","for the",623
"24","we are",614
"25","as well",596
"26","degree in",582
"27","of our",574
"28","well as",571
"29","part of",567
"30","knowledge of",559
"31","data and",556
"32","access to",554
"33","and the",546
"34","to be",536
"35","and data",528
"36","understanding of",528
"37","is an",527
"38","on the",515
"39","for employment",498
"40","big data",497
"41","data scientists",483
"42","for a",481
"43","of a",479
"44","able to",473
"45","equal opportunity",469
"46","looking for",464
"47","of experience",459
"48","working with",457
"49","the following",456
"50","data mining",455
"51","work with",449
"52","an equal",448
"53","a data",440
"54","the ability",436
"55","cover letter",431
"56","national origin",426
"57","solutions to",421
"58","a team",408
"59","or a",391
"60","in computer",387
"61","qualified applicants",387
"62","skills and",386
"63","or related",385
"64","learning and",383
"65","in order",382
"66","order to",380
"67","the data",378
"68","artificial intelligence",372
"69","at the",371
"70","to help",371
"71","and machine",369
"72","data sets",368
"73","design and",367
"74","responsible for",366
"75","at least",363
"76","based on",363
"77","regard to",358
"78","sexual orientation",357
"79","analysis and",356
"80","and experience",356
"81","and other",353
"82","or other",353
"83","data analysis",351
"84","opportunity employer",349
"85","team of",347
"86","is the",343
"87","top secret",342
"88","have a",340
"89","without regard",340
"90","you are",340
"91","to a",339
"92","5 years",338
"93","race color",337
"94","to build",334
"95","development and",332
"96","the world",331
"97","research and",327
"98","explorer program",325
"99","the explorer",325
"100","to provide",322
"101","work in",321
"102","applicants will",318
"103","be able",317
"104","gender identity",317
"105","on a",317
"106","are not",316
"107","one of",316
"108","youâ ll",315
"109","s degree",312
"110","opportunity to",311
"111","to determine",310
"112","must be",309
"113","to join",306
"114","subject to",301
"115","to develop",300
"116","in data",298
"117","to create",297
"118","for our",293
"119","and a",292
"120","variety of",292
"121","this position",291
"122","data to",289
"123","to apply",289
"124","by the",286
"125","and analyze",284
"126","and business",283
"127","full time",282
"128","weâ re",279
"129","combination of",278
"130","to make",278
"131","to solve",272
"132","to race",271
"133","data analytics",269
"134","to identify",269
"135","united states",267
"136","natural language",264
"137","be evaluated",263
"138","of title",260
"139","the agency's",260
"140","the mandatory",260
"141","title 5",260
"142","position is",259
"143","the best",257
"144","techniques and",256
"145","marital status",254
"146","the development",252
"147","veteran status",252
"148","closely with",251
"149","color religion",250
"150","for this",249
"151","large scale",243
"152","if you",242
"153","this role",240
"154","to our",240
"155","of education",239
"156","problem solving",236
"157","type full",236
"158","not required",234
"159","are looking",232
"160","in this",232
"161","the business",232
"162","with data",231
"163","communication skills",230
"164","join our",229
"165","with large",228
"166","processes and",227
"167","will have",227
"168","complex data",226
"169","experience and",226
"170","operations research",224
"171","to ensure",224
"172","department of",223
"173","to support",223
"174","to deliver",222
"175","develop and",221
"176","models and",221
"177","data driven",220
"178","may be",220
"179","will work",220
"180","required to",218
"181","orientation gender",217
"182","written and",215
"183","and work",214
"184","techniques to",213
"185","our team",210
"186","3 years",209
"187","with our",209
"188","and statistical",208
"189","education and",208
"190","more than",208
"191","not limited",208
"192","to communicate",208
"193","a variety",207
"194","and in",207
"195","employment without",207
"196","our customers",206
"197","to understand",205
"198","fast paced",204
"199","to drive",204
"200","any other",203
"201","systems and",201
"202","across the",200
"203","science or",199
"204","to top",199
"205","a key",197
"206","range of",197
"207","committed to",195
"208","development of",195
"209","limited to",195
"210","qualification criteria",195
"211","secret information",195
"212","team and",195
"213","the cover",195
"214","statistics or",194
"215","be considered",193
"216","analytics and",192
"217","within the",192
"218","and develop",191
"219","experience working",191
"220","to learn",191
"221","and development",190
"222","and implement",190
"223","cross functional",190
"224","algorithms and",189
"225","and predictive",189
"226","to achieve",189
"227","tools and",188
"228","methods to",187
"229","related to",187
"230","data professionals",184
"231","geographically distributed",184
